Date,Total_SSI,Industry_Rank,Network_Rank,Brand,People,Insights,Relationships,Total_Connections,SSI_Increase,Connection_Limit,Follow_Limit,Profiles_To_Scan,Group_Like_Prob,Group_Comment_Prob,Speed_Factor,Feed_Posts_Limit,Feed_Like_Prob,Feed_Comment_Prob,Withdrawn_Count,New_Connections_Accepted,Total_Followers
2026-02-24,39.0,14,36,8.750002,7.4375,1.0,22.2,0,0.0,20,33,57,0.360186474105489,0.1619030121397241,3.5,30,0.3599882372308358,0.2195692807399677,0,0,893.0
2026-02-25,40.0,14,36,8.750002,7.5625,1.0,22.2,0,1.0,20,28,58,0.3537270395718547,0.221416476987661,3.5,30,0.3782487327760655,0.1640487630781142,0,0,906.0
2026-02-26,40.0,15,37,8.750002,7.5625,1.0,22.2,0,0.0,20,20,23,0.4168983638806697,0.1644588100065412,3.5,9,0.3956259870101929,0.1959206182195121,0,0,914.0
2026-03-04,40.0,13,34,8.750002,8.1425,1.0,22.6,0,0.0,20,20,33,0.4289389702076085,0.1936617666116208,3.5,15,0.3728586283418825,0.1992062204945441,0,0,936.0
2026-03-19,49.0,6,13,8.750002,9.08,9.15,22.400002,0,9.0,19,30,32,0.4417765394219511,0.1407608101485047,3.5,15,0.4409579677982384,0.1497822251230139,0,0,82.0
2026-03-23,49.0,6,15,8.750002,8.5175,9.15,22.2,0,0.0,20,27,35,0.397779441128571,0.1405181807428205,3.5,19,0.4086424324249192,0.1377078949276618,0,0,110.0
2026-03-24,49.0,6,16,8.750002,8.455,9.15,22.2,0,0.0,20,27,33,0.3548260088656868,0.1899494851044121,3.5,19,0.3997372867127374,0.1568573279139546,0,0,116.0
2026-04-24,43.0,10,31,11.810001,8.1875,0.84999996,22.400002,0,-6.0,20,34,34,0.4188287782951673,0.1896766567617233,3.5,20,0.4493751106740061,0.1790138779224316,0,0,154.0
2026-05-22,42.0,12,35,11.810001,7.375,1.0,21.400002,0,-1.0,18,0,34,0.4366307292040464,0.1708378887190368,3.5,16,0.4067564229007349,0.1633203064461336,0,0,0.0
2026-05-23,0.0,0,0,0.0,0.0,0.0,0.0,0,-42.0,18,35,34,0.4061618806894381,0.1988564187394181,2.990563155931872,18,0.4242327026188452,0.1727804000219047,0,0,0.0
2026-05-24,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,20,34,30,0.4411734842472523,0.1960586061796012,3.787731059531998,19,0.3933847844842919,0.1106887935559182,0,0,0.0
2026-05-25,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,19,35,34,0.373062825104248,0.1605473282848212,3.5,16,0.3693992104605669,0.15736419196773999,0,0,0.0
